"max.gr"	"ind.gr"	"pval"	"freq"
"AcNan"	"1"	"0.390308763277545"	"0.081"	"22"
"AdLeu"	"3"	"0.0909090909090909"	"0.53"	"1"
"AgRup"	"3"	"0.489668658340829"	"0.002"	"36"
"ArUmb"	"1"	"0.162005215762937"	"0.316"	"8"
"CaRes"	"3"	"0.157285757643368"	"0.31"	"6"
"CaBic"	"1"	"0.0555555555555556"	"1"	"1"
"CaSpj"	"2"	"0.119855023946743"	"0.362"	"4"
"CeCer"	"3"	"0.0909090909090909"	"0.537"	"1"
"CeUni"	"1"	"0.378367750929287"	"0.352"	"36"
"FeVio"	"1"	"0.0555555555555556"	"1"	"1"
"EpFle"	"1"	"0.333473072578851"	"0.029"	"8"
"EuMin"	"1"	"0.0890364585306709"	"0.549"	"3"
"FeHal"	"1"	"0.0397689482113304"	"1"	"2"
"JuJac"	"1"	"0.173941144536449"	"0.209"	"5"
"LeHel"	"3"	"0.0909090909090909"	"0.542"	"1"
"LeAlp"	"2"	"0.49541320569999"	"0.002"	"37"
"LiAlp"	"1"	"0.111111111111111"	"0.342"	"2"
"LuSpi"	"1"	"0.14398736573225"	"0.798"	"12"
"MiVer"	"1"	"0.102583658296519"	"0.541"	"4"
"OxDig"	"1"	"0.491307529675651"	"0.014"	"26"
"PhAlp"	"1"	"0.21112074457362"	"0.195"	"9"
"PoAlp"	"3"	"0.431975921688075"	"0.026"	"24"
"PoCen"	"2"	"0.317188506171076"	"0.43"	"26"
"SaSag"	"1"	"0.359018819824041"	"0.197"	"27"
"SaFoe"	"1"	"0.043658465144817"	"1"	"2"
"SaHel"	"1"	"0.0555555555555556"	"1"	"1"
"SaAiz"	"1"	"0.509977146014729"	"0.008"	"26"
"SaAsp"	"2"	"0.0909090909090909"	"0.549"	"1"
"SaBry"	"1"	"0.339788625599142"	"0.177"	"20"
"SaOpp"	"2"	"0.0909090909090909"	"0.561"	"1"
"SaSte"	"1"	"0.170407612369338"	"0.27"	"7"
"SeAlp"	"3"	"0.0909090909090909"	"0.547"	"1"
"SeVil"	"1"	"0.197832866960691"	"0.341"	"10"
"SeMon"	"2"	"0.251541304078534"	"0.045"	"5"
"SiExs"	"1"	"0.0994475144381025"	"0.859"	"8"
"TrBad"	"1"	"0.484035984603068"	"0.003"	"17"
"TrPal"	"3"	"0.561349955614975"	"0.001"	"25"
"TrSpj"	"2"	"0.0909090909090909"	"0.541"	"1"
"VeAlp"	"1"	"0.0555555555555556"	"1"	"1"
